Dates,Pollster,Sponsor,Sample,Influence,Approve,RollingWeightedApprove
2025-12-04,Rasmussen Reports,,"1,500 LV@@1500",0.903828,39.56205,39.56205
2025-12-04,RMG Research,Napolitan News Service,"3,000 RV@@3000",0.892721,40.83949,40.19682
2025-12-03,Rasmussen Reports,,"1,500 LV@@1500",0.0929596,39.56205,40.16559
2025-12-02,Rasmussen Reports,,"1,500 LV@@1500",0.085917,40.56205,40.18283
2025-12-01,YouGov,Economist,"1,628 A@@1628",0.7739585,40.61495,40.30448
2025-12-01,Rasmussen Reports,,"1,500 LV@@1500",0.1763187,41.56205,40.38026
2025-11-30,Morning Consult,,"2,200 RV@@2200",0.5731658,43.62464,40.91174
2025-11-29,TIPP Insights,League of American Workers,"1,483 A@@1483",1.29961,43.82496,41.70075
2025-11-26,Rasmussen Reports,,"1,500 LV@@1500",0.067272,42.56205,41.71266
2025-11-25,The Bullfinch Group,,"1,200 A@@1200",0.5726082,39.6516,41.49565
2025-11-25,Gallup,,"1,321 A@@1321",0.3147815,38.02891,41.30597
2025-11-25,Rasmussen Reports,,"1,500 LV@@1500",0.0591302,43.56205,41.32892
2025-11-24,YouGov,Economist,"1,677 A@@1677",0.3283207,39.61495,41.23728
2025-11-24,YouGov,Yahoo News,"1,684 A@@1684",0.2871503,41.61495,41.25415
2025-11-24,Rasmussen Reports,,"1,500 LV@@1500",0.0512028,42.56205,41.26449
2025-11-23,Morning Consult,,"2,200 RV@@2200",0.2437337,43.62464,41.35005
2025-11-21,Emerson College,Consensus Strategies,"1,000 RV@@1000",0.5620002,44.55828,41.59756
2025-11-21,InsiderAdvantage,,800 LV@@800,0.53308,40.47902,41.52129
2025-11-21,YouGov,CBS News,"2,489 A@@2489",0.2510432,41.61495,41.52421
2025-11-21,Rasmussen Reports,,"1,500 LV@@1500",0.0495803,43.56205,41.53665
2025-11-20,J.L. Partners,Daily Mail,"1,296 RV@@1296",0.5061874,41.10332,41.51122
2025-11-20,American Research Group,,"1,100 A@@1100",0.3403085,37.79819,41.37027
2025-11-20,RMG Research,Napolitan News Service,"3,000 RV@@3000",0.2053065,41.83949,41.38078
2025-11-20,Rasmussen Reports,,"1,500 LV@@1500",0.0881639,43.56205,41.40155
2025-11-19,Rasmussen Reports,,"1,500 LV@@1500",0.0265908,43.56205,41.40774
2025-11-18,Rasmussen Reports,,"1,500 LV@@1500",0.0238765,43.56205,41.41326
2025-11-17,Beacon Research/Shaw & Co. Research,FOX News,"1,005 RV@@1005",0.4173049,40.43835,41.37143
2025-11-17,Echelon Insights,,"1,051 LV@@1051",0.3353063,41.055,41.36089
2025-11-17,The Argument/Verasight,,"1,508 RV@@1508",0.2985701,42.14847,41.38358
2025-11-17,Ipsos,Reuters,"1,017 A@@1017",0.1981537,40.02571,41.35810
2025-11-17,YouGov,Economist,"1,549 A@@1549",0.1324309,41.61495,41.36128
2025-11-17,Rasmussen Reports,,"1,500 LV@@1500",0.0212167,43.56205,41.36564
2025-11-16,Morning Consult,,"2,201 RV@@2201",0.0786901,44.62464,41.38941
2025-11-14,High Point University,,"1,004 A@@1004",0.1923768,36.83036,41.30955
2025-11-14,Verasight,Strength in Numbers,"2,038 A@@2038",0.191508,42.01431,41.32163
2025-11-14,Rasmussen Reports,,"1,500 LV@@1500",0.0224122,42.56205,41.32411
2025-11-13,Marist College,NPR | PBS News,"1,443 A@@1443",0.2812886,40.02982,41.29239
2025-11-13,RMG Research,Napolitan News Service,"3,000 RV@@3000",0.0609134,44.83949,41.31112
