Dates,Pollster,Sample,Influence,Approve,Disapprove,Net
"12/2 - 12/4, 2025@@24079","<a href=""https://harvardharrispoll.com/wp-content/uploads/2025/12/HHP_Dec2025_Topline.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Harris Insights & Analytics</a>","2,204 RV@@2204",1.332994,45.41263,51.00893,-5.596302
"11/25 - 11/29, 2025@@24074","<a href=""https://issuesinsights.com/2025/12/01/after-brief-decline-trump-leadership-gauges-regain-lost-ground-in-december-ii-tipp-poll/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">TIPP Insights</a>^Sponsor: League of American Workers^","1,483 A@@1483",1.030979,43.82821,49.73482,-5.906612
"12/1 - 12/5, 2025@@24080","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.8685979,39.61076,56.84665,-17.23589
"11/19 - 12/4, 2025@@24079","<a href=""https://napolitannews.org/jobapproval"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">RMG Research</a>^Sponsor: Napolitan News Service^","3,000 RV@@3000",0.6897211,40.8311,55.88795,-15.05685
"11/28 - 12/1, 2025@@24076","<a href=""https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_szm0BQt.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: Economist^","1,628 A@@1628",0.6280911,40.61922,57.03582,-16.4166
"11/26 - 11/30, 2025@@24075","<a href=""https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Morning Consult</a>","2,200 RV@@2200",0.4456618,43.61504,53.48262,-9.86758
"11/18 - 11/21, 2025@@24066","<a href=""https://emersoncollegepolling.com/8-state-national-surveys/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Emerson College</a>^Sponsor: Consensus Strategies^","1,000 RV@@1000",0.4153641,44.54792,57.66483,-13.11691
"11/21 - 11/25, 2025@@24070","<a href=""https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q4-nationwide-survey-3"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">The Bullfinch Group</a>","1,200 A@@1200",0.4100251,39.64972,54.15487,-14.50515
"11/20 - 11/21, 2025@@24066","<a href=""https://insideradvantage.com/insideradvantage-national-survey-trump-approval-recovering-approve-44-disapprove-49/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">InsiderAdvantage</a>",800 LV@@800,0.3795066,40.47363,52.18341,-11.70978
"11/19 - 11/20, 2025@@24065","<a href=""https://jlpartners.com/nov25-rv"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">J.L. Partners</a>^Sponsor: Daily Mail^","1,296 RV@@1296",0.3767002,41.09374,52.63358,-11.53984
